,seasonal_index
1,0.9725852032413017
2,0.9977318369463771
3,1.0233333975108594
4,1.0490774390740396
5,1.0746213833082936
6,1.099595607151915
7,1.123608666232687
8,1.146254587490048
9,1.167122032568674
10,1.185805009866407
11,1.201914705081326
12,1.2150919142582381
13,1.2250195049767696
14,1.2314343041835865
15,1.2341378171991986
16,1.2330052216729719
17,1.227992150856046
18,1.2191388788404856
19,1.2065716411029261
20,1.1905009602200596
21,1.1712169914936434
22,1.1490820484406434
23,1.1245206056378398
24,1.0980071986513695
25,1.070052740981173
26,1.0411898506061228
27,1.011957819887125
28,0.9828878701190491
29,0.9544893056724248
30,0.9272371241068967
31,0.9015615513651587
32,0.877839860279322
33,0.8563907025704927
34,0.8374710466708972
35,0.8212756739376894
36,0.8079390521106042
37,0.7975392847448193
38,0.7901037355436795
39,0.7856158525198517
40,0.7840226726879863
41,0.7852424757353745
42,0.7891720751437434
43,0.7956932859630171
44,0.8046781864860619
45,0.8159928914658363
46,0.8294996709767604
47,0.8450573743454107
48,0.8625202450529929
49,0.8817353323851486
50,0.9025388115224846
51,0.9247516092169085
52,0.9481747918972556
